"","ncesID","nces_original_name","county_name","city","state","students","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","liability_per_student","netpension_per_student","netOPEB_per_student","expenses_per_student","revenues_per_student","liability_rev_ratio"
"51","0634320","San Diego Unified","San Diego County","San Diego","CA",102270,"146593",2020,6421488110,1449568000,135880213,1875674718,1987911916,62789.558130439,14173.9317492911,1328.64195756331,18340.4196538574,19437.8792998924,3.23026793004042
"52","0634320","San Diego Unified","San Diego County","San Diego","CA",102270,"146593",2021,7331466923,1546135000,143083016,1986798898,2113720564,71687.3660213161,15118.1675955803,1399.0712427887,19426.9961670089,20668.041106874,3.4685128431196
"53","2102990","Jefferson County","Jefferson County","Louisville","KY",100348,"33679",2020,1662666688,534348849,431036181,1591239863,1572818250,16569.0067365568,5324.95763742177,4295.41377008012,15857.2155199904,15673.6382389285,1.05712576008067
"54","2102990","Jefferson County","Jefferson County","Louisville","KY",100348,"33679",2021,1717633170,560507654,440641271,1695673893,1697883445,17116.7653565592,5585.63851795751,4391.13157212899,16897.934119265,16919.953013513,1.01163196746995
"55","1201560","PINELLAS","Pinellas County","LARGO","FL",99772,"69989",2020,931076698,608061187,52281715,1165276481,1129321171,9332.04404041214,6094.50734675059,524.011897125446,11679.3938279277,11319.0190734876,0.82445695866619
"56","1201560","PINELLAS","Pinellas County","LARGO","FL",99772,"69989",2021,1143065408,720789781,58611005,1243482809,1243306424,11456.7755282043,7224.36937216854,587.449434711141,12463.2442869743,12461.4764062061,0.919375453978994
"57","1301740","DeKalb County","DeKalb County","DECATUR","GA",98800,"105280",2020,2301940046,1122765085,770250780,1431948985,1466773135,23298.9883198381,11364.0190789474,7796.06052631579,14493.4107793522,14845.8819331984,1.56939065154067
"58","1301740","DeKalb County","DeKalb County","DECATUR","GA",98800,"105280",2021,2544087876,1281485515,914081630,1438897061,1495935328,25749.8772874494,12970.5011639676,9251.83836032389,14563.7354352227,15141.0458299595,1.70066701974432
"59","1201080","LEE","Lee County","FORT MYERS","FL",95613,"32402",2020,1278007845,486925058,50552528,1102540344,1150757420,13366.4652819177,5092.66582996036,528.720236787884,11531.2807254244,12035.5748695261,1.11057971279473
"60","1201080","LEE","Lee County","FORT MYERS","FL",95613,"32402",2021,1306480223,567716145,51818919,1134216279,1211807028,13664.253009528,5937.64597910326,541.965203476515,11862.5739073139,12674.0822691475,1.07812563618834
"61","1302280","Fulton County","Fulton County","Atlanta","GA",93897,"70979",2020,1976650177,1091755582,660783856,1317115866,1409931971,21051.2601787065,11627.1614854575,7037.32660255386,14027.2411898144,15015.7296931744,1.40194719862835
"62","1302280","Fulton County","Fulton County","Atlanta","GA",93897,"70979",2021,2121528100,1125485679,779381586,1312886363,1393108013,22594.2053526737,11986.3859228729,8300.38857471485,13982.1971202488,14836.555086957,1.52287409174496
"63","5103130","PRINCE WILLIAM CO PBLC SCHS","Prince William County","Manassas","VA",92237,"197665",2020,1241056033,880640955,159352777,1290526578,1408855587,13455.0780380975,9547.58887431291,1727.64483883908,13991.4196905797,15274.2997603998,0.880896554942647
"64","5103130","PRINCE WILLIAM CO PBLC SCHS","Prince William County","Manassas","VA",92237,"197665",2021,1376448983,1003741236,142765589,1376884937,1554705819,14922.9591487147,10882.1973394625,1547.81258063467,14927.6856033913,16855.5549183083,0.885343687647187
"65","0803360","School District No. 1 in the county of Denver and State of C","Denver County","DENVER","CO",92143,"189042",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","0803360","School District No. 1 in the county of Denver and State of C","Denver County","DENVER","CO",92143,"189042",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3500060","ALBUQUERQUE PUBLIC SCHOOLS","Bernalillo County","ALBUQUERQUE","NM",88312,"35931",2020,2397848787,1284568723,363064860,572543455,1131467933,27152.0154339161,14545.8003782045,4111.16111060785,6483.18977035963,12812.1651983875,2.11923706988521
"68","3500060","ALBUQUERQUE PUBLIC SCHOOLS","Bernalillo County","ALBUQUERQUE","NM",88312,"35931",2021,4771504689,3536282260,485256883,1868948339,1120662608,54030.0829898542,40043.0548509829,5494.80119349579,21163.0167927348,12689.8112147839,4.25775309619325
"69","4703180","Davidson County","Davidson County","Nashville","TN",85588,NA,2020,0,0,0,0,0,0,0,0,0,0,NA
"70","4703180","Davidson County","Davidson County","Nashville","TN",85588,NA,2020,134694725,-62553403,1485478883.0736,NA,NA,1573.75712716736,-730.866511660513,17356.1583758658,NA,NA,NA
"71","4703180","Davidson County","Davidson County","Nashville","TN",85588,NA,2021,0,84041613,1061732808,1195361854,488401680,0,981.932198439034,12405.1596952844,13966.4655559191,5706.42706921531,0
"72","4703180","Davidson County","Davidson County","Nashville","TN",85588,NA,2021,134694725,0,1570970675.3424,1230324489,1333733574,1573.75712716736,0,18355.0342961911,14374.9648198346,15583.1842548021,0.100990728302683
"73","2400060","Anne Arundel County Public Schools","Anne Arundel County","Annapolis","MD",84984,"41282",2020,2182951319,64243619,1859904000,1405044746,1481594562,25686.6153511249,755.949578744234,21885.3431234115,16533.0502918196,17433.8059164078,1.47337967821186
"74","2400060","Anne Arundel County Public Schools","Anne Arundel County","Annapolis","MD",84984,"41282",2021,2408740296,76712926,2064794000,1440838073,1460219112,28343.4563682576,902.674927045091,24296.267532712,16954.2275369481,17182.2826885061,1.64957455782157
"75","0804800","Jefferson County School District No. R-1","Jefferson County","GOLDEN","CO",84078,"32057",2020,2353743121,1347298359,66246238,731016376,1017567920,27994.7563096173,16024.3863912082,787.914055995623,8694.50243821214,12102.6656200195,2.31310664844859
"76","0804800","Jefferson County School District No. R-1","Jefferson County","GOLDEN","CO",84078,"32057",2021,2761721373,1523282578,55380519,588685435,982180796,32847.1344822665,18117.4930183877,658.680261186042,7001.65840053284,11681.7811555936,2.81182587182248
"77","5102250","LOUDOUN CO PBLC SCHS","Loudoun County","Ashburn","VA",83606,"197654",2020,1674258721,993580040,403737216,1461289718,1497874074,20025.5809511279,11884.0757840346,4829.04595363969,17478.2876587805,17915.8681673564,1.11775665929578
"78","5102250","LOUDOUN CO PBLC SCHS","Loudoun County","Ashburn","VA",83606,"197654",2021,1810600000,1185300000,334800000,1541300000,1611300000,21656.3404540344,14177.2121618066,4004.49728488386,18435.2797646102,19272.5402483075,1.12368894681313
"79","4900030","Alpine District","Utah County","AMERICAN FORK","UT",83540,"39330",2020,1059030997,185909219,66222363,768957816,758243762,12676.933169739,2225.39165669141,792.702453914293,9204.66621977496,9076.41563322959,1.39668936307055
"80","4900030","Alpine District","Utah County","AMERICAN FORK","UT",83540,"39330",2021,943091448,114028597,51252537,737124522,827245124,11289.1004069907,1364.95806799138,613.508941824276,8823.61170696672,9902.38357672971,1.14003869063603
"81","4825170","KATY ISD","Fort Bend County","KATY","TX",83423,"38990",2020,2787669152,223796599,281189550,1072886090,1089968833,33416.074128238,2682.6726322477,3370.64778298551,12860.7948647256,13065.5674454287,2.55756776487571
"82","4825170","KATY ISD","Fort Bend County","KATY","TX",83423,"38990",2021,2638649634,239987931,232773193,1091806035,1099696832,31629.7619841051,2876.75977847836,2790.27597904655,13087.5901729739,13182.1779605145,2.39943369592248
"83","4819700","FORT WORTH ISD","Tarrant County","FORT WORTH","TX",82891,"39194",2020,2010513068,305150969,352419124,1074969265,1118553390,24254.9018349399,3681.35224572028,4251.59696468857,12968.4678071202,13494.2682559023,1.79742253340272
"84","4819700","FORT WORTH ISD","Tarrant County","FORT WORTH","TX",82891,"39194",2021,1995676293,284706401,269695599,1048582970,1193433536,24075.9104486615,3434.70824335573,3253.61738910135,12650.1425969044,14397.6250256361,1.6722140218121
"85","4808940","AUSTIN ISD","Travis County","AUSTIN","TX",80911,"39211",2020,2497995416,118517031,302775488,1672957566,1757890245,30873.3721743644,1464.78267479082,3742.08065652383,20676.5157518755,21726.2207240054,1.42101898745106
"86","4808940","AUSTIN ISD","Travis County","AUSTIN","TX",80911,"39211",2021,2833156660,246709201,256544236,1800313940,1775213465,35015.7167752222,3049.14289775185,3170.69664198935,22250.5461556525,21940.3228856398,1.59595266476868
"87","2400090","Baltimore City Public Schools","Baltimore city","Baltimore","MD",79187,"44313",2020,426185000,0,0,1446826000,1711671000,5382.00714763787,0,0,18271.0040789524,21615.5555836185,0.248987685133416
"88","2400090","Baltimore City Public Schools","Baltimore city","Baltimore","MD",79187,"44313",2021,441281000,0,0,1512821000,1672835000,5572.64449972849,0,0,19104.4110775759,21125.1215477288,0.263792304680378
"89","4819650","FORT BEND ISD","Fort Bend County","SUGAR LAND","TX",77756,"38940",2020,1939809685,206732032,270110960,1063607180,971061938,24947.3955064561,2658.72771233088,3473.8278718041,13678.7795154072,12488.5788620814,1.99761684511622
"90","4819650","FORT BEND ISD","Fort Bend County","SUGAR LAND","TX",77756,"38940",2021,2213317639,220611616,221244800,1060930559,959226672,28464.9112480066,2837.22948711353,2845.37270435722,13644.3561783014,12336.3685374762,2.30739793169554
"91","4502310","Greenville 01","Greenville County","Greenville","SC",77302,"38341",2020,2523154282,895763981,760663343,940707649,954914212,32640.2199425629,11587.8500038809,9840.15087578588,12169.2536933068,12353.033711935,2.64228372590186
"92","4502310","Greenville 01","Greenville County","Greenville","SC",77302,"38341",2021,2736790589,1014813176,919301322,997471803,1043035976,35403.8781532173,13127.9032366562,11892.3355411244,12903.5704509586,13493.0011642648,2.62386979162069
"93","1201530","PASCO","Pasco County","LAND O LAKES","FL",76661,"148148",2020,1220077040,397711685,98611974,801681147,823883566,15915.2246905206,5187.927172878,1286.33821630294,10457.4835574803,10747.1017336064,1.48088527353876
"94","1201530","PASCO","Pasco County","LAND O LAKES","FL",76661,"148148",2021,1274076351,475673705,106858334,902757945,895626256,16619.6155933265,6204.89825334916,1393.90738445885,11775.9740285152,11682.9451220308,1.42255359583831
"95","4900210","Davis District","Davis County","FARMINGTON","UT",74773,"39313",2020,889548468,181144594,0,694223529,728477766,11896.6534444251,2422.59363674053,0,9284.41454803204,9742.52425340698,1.22110585870647
"96","4900210","Davis District","Davis County","FARMINGTON","UT",74773,"39313",2021,0,0,0,0,0,0,0,0,0,0,NA
"97","5509600","Milwaukee School District","Milwaukee County","Milwaukee","WI",74683,"40012",2020,1413229033,187257004,762277112,1268266817,1208173119,18923.0351351713,2507.35781904851,10206.8357189722,16982.001486282,16177.3511910341,1.16972394996648
"98","5509600","Milwaukee School District","Milwaukee County","Milwaukee","WI",74683,"40012",2021,1282936553,161786883,631694509,1115965278,1304106715,17178.4281965106,2166.3147302599,8458.34405420243,14942.6948301488,17461.8951434731,0.983766541682135
"99","1200150","BREVARD","Brevard County","VIERA","FL",73962,"93779",2020,970289235,393361434,17244106,809117325,802974791,13118.753346313,5318.42613774641,233.148184202699,10939.6355560964,10856.585692653,1.20836824004354
