"","state","name.x","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","ncesID","name.y","nces_original_name","county_name","city","students"
"138","CA","Fresno Unified School District","146154",2022,2557865078,492432000,987304445,1324637810,1515772451,"0614550","Fresno Unified School District","Fresno Unified","Fresno County","Fresno",71265
"139","FL","Osceola County District School Board","198253",2020,629910852,297815602,15687722,709946823,795253071,"1201470","Osceola County District School Board","OSCEOLA","Osceola County","KISSIMMEE",69925
"140","FL","Osceola County District School Board","198253",2021,738716305,347343200,16582352,737330037,854416743,"1201470","Osceola County District School Board","OSCEOLA","Osceola County","KISSIMMEE",69925
"141","FL","Osceola County District School Board","198253",2022,513854719,151318672,15279565,753198847,935328714,"1201470","Osceola County District School Board","OSCEOLA","Osceola County","KISSIMMEE",69925
"142","FL","District School Board of Seminole County","32425",2020,601902285,346916779,18813350,666147076,682225811,"1201710","Seminole County Public Schools","SEMINOLE","Seminole County","SANFORD",68096
"143","FL","District School Board of Seminole County","32425",2021,645371995,409745367,21740202,704741209,733138761,"1201710","Seminole County Public Schools","SEMINOLE","Seminole County","SANFORD",68096
"144","FL","District School Board of Seminole County","32425",2022,368504409,172583468,9869686,671846476,746766650,"1201710","Seminole County Public Schools","SEMINOLE","Seminole County","SANFORD",68096
"145","CO","Douglas County School District RE. 1","32045",2020,1545454919,864936787,42529387,619988621,809862038,"0803450","Douglas County School District Re.1","Douglas County School District No. Re 1","Douglas County","CASTLE ROCK",67305
"146","CO","Douglas County School District RE. 1","32045",2021,1547646681,936328834,34048351,477799993,786412795,"0803450","Douglas County School District Re.1","Douglas County School District No. Re 1","Douglas County","CASTLE ROCK",67305
"147","CO","Douglas County School District RE. 1","32045",2022,1179974812,636750686,30807156,554339436,867335496,"0803450","Douglas County School District Re.1","Douglas County School District No. Re 1","Douglas County","CASTLE ROCK",67305
"148","NV","Washoe County School District","35535",2020,2191603737,716187044,196695810,781154443,770757665,"3200480","Washoe County School District","WASHOE COUNTY SCHOOL DISTRICT","Washoe County","RENO",67301
"149","NV","Washoe County School District","35535",2021,2225904426,732973503,101100866,733442617,786858586,"3200480","Washoe County School District","WASHOE COUNTY SCHOOL DISTRICT","Washoe County","RENO",67301
"150","NV","Washoe County School District","35535",2022,1956695511,480019715,84116082,719872778,845829655,"3200480","Washoe County School District","WASHOE COUNTY SCHOOL DISTRICT","Washoe County","RENO",67301
"151","TX","Aldine Independent School District","38981",2020,1730907415,206674704,244402754,838250145,850679006,"4807710","Aldine Independent School District","ALDINE ISD","Harris County","HOUSTON",67259
"152","TX","Aldine Independent School District","38981",2021,1641404605,189964192,195448921,863766730,909469310,"4807710","Aldine Independent School District","ALDINE ISD","Harris County","HOUSTON",67259
"153","TX","Aldine Independent School District","38981",2022,1539488436,100160353,198628115,780810740,902727160,"4807710","Aldine Independent School District","ALDINE ISD","Harris County","HOUSTON",67259
"154","UT","Granite School District","39321",2020,604234008,214554003,1982613,675672751,696323176,"4900360","Granite School District","Granite District","Salt Lake County","SALT LAKE CITY",66276
"155","UT","Granite School District","39321",2021,566792149,134437593,1880526,671159271,714703095,"4900360","Granite School District","Granite District","Salt Lake County","SALT LAKE CITY",66276
"156","UT","Granite School District","39321",2022,433408113,15817857,1620690,619422155,789408746,"4900360","Granite School District","Granite District","Salt Lake County","SALT LAKE CITY",66276
