"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"5729","TX","Mount Calm Independent School District",NA,163807,2021,"School District",2782332,1500000,178776,0,0,63373,468467,0,571716,0,0,151187,492475,0,2765169,381829,3027002,0,0,0,3408831,FALSE
"5730","TX","Orange Grove Independent School District",NA,52107,2021,"School District",22800949,8607677,1376092,0,0,3805000,4318669,0,4693511,0,0,463644,4992273,0,16978876,1577235,20857558,0,0,0,22434793,FALSE
"5731","TX","Monahans-Wickett-Pyote Independent School District",NA,229944,2021,"School District",153622292,136023000,4982997,93988,0,0,5669720,0,6852587,0,0,486268,5262530,0,50986383,9271058,47464123,0,0,0,56735181,FALSE
"5732","TX","Nueces Canyon Consolidated Independent School District",NA,163827,2021,"School District",2534751,0,295607,0,0,0,935116,0,1304028,0,0,40714,987854,0,3461556,22149,4467975,0,0,0,4490124,FALSE
"5733","TX","Nursery Independent School District",NA,163828,2021,"School District",3009364,2186731,194979,0,0,0,286155,0,341499,0,0,29106,251803,0,3012427,250079,3043257,0,0,0,3293336,FALSE
"5734","TX","O'donnell Independent School District",NA,163830,2021,"School District",14626262,11721138,297937,0,0,0,1105602,0,1501585,0,0,92201,784827,0,5101272,-417441,6395741,0,0,0,5978300,FALSE
"5735","TX","Moran Independent School District",NA,163801,2021,"School District",1635528,0,205449,0,298815,0,436963,0,694301,0,0,11324,267309,0,2218907,147428,2350112,0,0,0,2497540,FALSE
"5736","TX","Paducah Independent School District",NA,163837,2021,"School District",1686035,0,385415,0,0,0,580761,0,719859,0,0,122246,571503,0,2588150,-98607,3380506,0,0,0,3281899,FALSE
"5737","TX","Orangefield Independent School District",NA,39130,2021,"School District",17078579,6785420,799479,0,0,450000,4141862,0,4778986,0,97556,801987,3323614,0,17618140,301398,21442343,0,0,0,21743741,FALSE
"5738","TX","Muenster Independent School District",NA,163809,2021,"School District",20088084,16375267,690765,0,0,0,1223621,0,1622570,0,175861,208965,729377,0,7442174,318003,8062513,0,0,0,8380516,FALSE
"5739","TX","Paint Creek Independent School District",NA,163838,2021,"School District",4231592,2793317,340090,40740,0,0,421672,0,622681,0,0,10836,339452,0,2430915,331891,2449312,0,0,0,2781203,FALSE
"5740","TX","Navarro Independent School District",NA,38971,2021,"School District",49447336,36689837,2857138,0,328487,526000,4119496,0,4926378,0,0,711065,2040761,0,20785099,-258161,23795086,0,0,0,23536925,FALSE
"5741","TX","Paint Rock Independent School District",NA,163839,2021,"School District",5851909,1910864,386546,86257,0,0,967308,0,1604465,0,0,55204,543786,0,4162380,307374,4453996,0,0,0,4761370,FALSE
"5742","TX","Oakwood Independent School District",NA,163829,2021,"School District",6593417,4901745,243904,0,0,0,595871,0,851897,0,0,13295,801217,0,2675867,-44425,3534804,0,0,0,3490379,FALSE
"5743","TX","Navasota Independent School District",NA,38969,2021,"School District",107172632,80105410,5997740,0,0,4021000,8380519,0,8667963,0,0,1147495,9572478,0,33271867,-497853,44489693,0,0,0,43991840,FALSE
"5744","TX","Overton Independent School District",NA,229977,2021,"School District",15164439,8286791,454023,0,1700000,292922,1704212,0,2726491,0,0,169655,1296482,0,6728974,-268030,8463141,0,0,0,8195111,FALSE
