"","ncesID","nces_original_name","county_name","city","state","students"
"1656","5900108","Pine Hill Schools","Cibola County","Pine Hill","NM",305
"1657","2703300","ASHBY PUBLIC SCHOOL DISTRICT","Grant County","ASHBY","MN",304
"1658","0804680","Holly School District No. Re-3","Prowers County","HOLLY","CO",304
"1659","2009930","Ness City","Ness County","Ness City","KS",304
"1660","3603030","ANDOVER CENTRAL SCHOOL DISTRICT","Allegany County","ANDOVER","NY",303
"1661","3302010","Brentwood School District","Rockingham County","Exeter","NH",303
"1662","2718360","LYLE PUBLIC SCHOOL DISTRICT","Mower County","LYLE","MN",303
"1663","3813050","MINTO 20","Walsh County","Minto","ND",303
"1664","5900120","Salt River Elementary School","Maricopa County","Scottsdale","AZ",303
"1665","3002220","Arlee Elem","Lake County","Arlee","MT",302
"1666","3302100","Campton School District","Grafton County","Plymouth","NH",302
"1667","2006570","Goessel","Marion County","Goessel","KS",302
"1668","5506420","Highland School District","Iowa County","Highland","WI",302
"1669","2008880","Little River","Rice County","Little River","KS",302
"1670","4100043","ODE YCEP District","Marion County","Salem","OR",302
"1671","0805640","School District No. Re-4 Buffalo","Logan County","MERINO","CO",302
"1672","5515090","Twin Lakes #4 School District","Kenosha County","Twin Lakes","WI",302
"1673","2610560","Fairview Area School District","Oscoda County","FAIRVIEW","MI",301
"1674","2919140","LOCKWOOD R-I","Dade County","LOCKWOOD","MO",301
"1675","5501170","Birchwood School District","Washburn County","Birchwood","WI",300
"1676","4617850","De Smet School District 38-2","Kingsbury County","De Smet","SD",300
"1677","2931920","WHEATLAND R-II","Hickory County","WHEATLAND","MO",300
"1678","1804230","Hamilton Community Schools","DeKalb County","Hamilton","IN",299
"1679","0403730","Hayden-Winkelman Unified District (4212)","Gila County","WINKELMAN","AZ",298
"1680","5516470","Weston School District","Sauk County","Cazenovia","WI",296
"1681","4005760","BUFFALO","Harper County","Buffalo","OK",295
"1682","4611760","Centerville School District 60-1","Turner County","Centerville","SD",295
"1683","2910950","DORA R-III","Ozark County","DORA","MO",295
"1684","5900063","KAYENTA COMMUNITY SCHOOL","Navajo County","Kayenta","AZ",295
"1685","2732700","SOUTH KOOCHICHING SCHOOL DISTRICT","Koochiching County","NORTHOME","MN",295
"1686","3628020","STAMFORD CENTRAL SCHOOL DISTRICT","Delaware County","STAMFORD","NY",295
"1687","4223880","Turkeyfoot Valley Area SD","Somerset County","Confluence","PA",295
"1688","5000429","First Branch Unified School District","Windsor County","Royalton","VT",294
"1689","2713040","Granada Huntley East Chain","Martin County","GRANADA","MN",294
"1690","2926400","RICHLAND R-I","Stoddard County","ESSEX","MO",294
"1691","1701439","S Will Co Coop for Spec Ed","Will County","Joliet","IL",294
"1692","5507230","Juda School District","Green County","Juda","WI",293
