"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"932","CA","Klamath River Union Elementary School District",NA,146264,2020,"School District",160152,0,24845,0,0,0,135307,0,0,0,0,3056,50256,0,257776,4171,306917,0,0,0,311088,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","CA","Knights Ferry Elementary School District",NA,146267,2020,"School District",1688004,0,150836,0,0,0,1060870,0,476298,0,0,1515,169910,0,1639640,362290,1448775,0,0,0,1811065,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","CA","Seiad Elementary School District",NA,146639,2020,"School District",219530,0,3342,0,0,0,216188,0,0,0,0,21086,54290,0,329395,50110,354661,0,0,0,404771,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","CA","Centinela Valley Union High School District",NA,146005,2020,"School District",563323109,392196240,22136277,0,0,0,107809660,0,33624353,0,871579,2740896,23722930,2048450,105875764,24406349,109981691,0,0,0,134388040,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","MS","Holly Springs School District",NA,35050,2020,"School District",31052504,8966490,345729,0,0,631000,19703010,0,1342046,0,64229,196190,3333141,0,11623888,-208864,15362083,0,0,0,15153219,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","MS","East Tallahatchie School District",NA,35077,2020,"School District",18547370,0,705749,0,0,0,16446736,0,1333754,0,61131,122068,2522690,0,8180946,-1331517,12157221,0,0,0,10825704,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","MT","Heart Butte School District No. 1",NA,81621,2020,"School District",2371891,0,8736,0,0,0,2250325,0,57546,0,55284,82791,1105553,0,3837727,-620997,5647068,0,0,0,5026071,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","IN","Charles A. Beard Memorial School Corporation",NA,189445,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15038911,1026136,14012775,0,0,0,15038911,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","VA","School Board of the City of Portsmouth",NA,197663,2020,"School District",179214769,0,13345877,0,0,0,138742940,0,20561679,6980817,4614291,1418555,36132586,0,141031731,6645718,171937154,0,0,0,178582872,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","NJ","The Township of Springfield School District",NA,168099,2020,"School District",20715748,2670000,4049521,3402310,0,0,8869130,0,0,0,1724787,1148593,6578455,0,42760182,4139382,46347848,535216,162987,0,50487230,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
