"","state","name","census_id","id","ncesID","is_city","is_county","is_intergovernmental","is_special_district","is_state","is_tribal","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","component_unit_of_id"
"241","MO","Cole County R-1 School District",NA,224849,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,4744212,0,0,0,0,0,0,0,0,91986,297799,1252759,0,5655864,266645,6939777,0,0,0,7206422,FALSE,NA
"242","MO","Exeter R-6 School District",NA,224854,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,470000,0,0,0,539862,0,0,0,0,17261,69594,1246967,0,2717070,432872,3600759,0,0,0,4033631,FALSE,NA
"243","MO","Fair Play R-2 School District",NA,49460,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,1550000,0,0,0,0,0,0,0,0,31206,73110,1706223,0,3202947,-260169,5242449,0,0,0,4982280,FALSE,NA
"244","MO","Fairview R-11 School District",NA,224855,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",492829,0,0,492829,0,0,4403938,0,0,0,0,40733,1073732,124639,5828518,639348,6428274,0,0,0,7067622,FALSE,NA
"245","MO","Dade County School District R-I",NA,224852,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,2510000,0,12936,0,0,3268790,0,0,0,0,200376,1103059,169826,3197126,940346,3730041,0,0,0,4670387,FALSE,NA
"246","MO","Lincoln R-2 School District",NA,224865,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,660000,0,0,91733,0,0,0,0,0,109211,238106,1299994,0,4344578,55156,5827522,0,0,0,5882678,FALSE,NA
"247","MO","Greenfield R-IV School District",NA,224857,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,1845000,0,27675,373898,0,0,0,0,0,0,108234,1271198,0,5418246,552524,6245154,0,0,0,6797678,FALSE,NA
"248","MO","Tri-County R-7 School District",NA,224875,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,165467,1044134,0,2348447,508650,3049399,0,0,0,3558049,FALSE,NA
"249","MO","Eldon R-1 School District",NA,35268,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,511956,7621808,232376,19714568,4231037,23849670,0,0,0,28080708,FALSE,NA
"250","MO","Laclede County R-1 School District",NA,35252,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,2135000,0,292487,0,0,0,0,0,0,56906,466354,2107481,0,5602988,679671,7497152,0,0,0,8176823,FALSE,NA
