"","id","state","name","ncesID","nces_original_name","students"
"4383","109709","NE","walthill public schools district 13","3178300","WALTHILL PUBLIC SCHOOLS","289"
"4384","190219","NE","Washington County School District No. 24","3103130","ARLINGTON PUBLIC SCHOOLS","708"
"4385","108722","NE","Wauneta Palisade Public School","3100018","WAUNETA-PALISADE PUBLIC SCHS","218"
"4386","190390","NE","Wausa Public School District No. 54-0576","3178450","WAUSA PUBLIC SCHOOLS","246"
"4387","190386","NE","Wayne Community Schools","3178520","WAYNE COMMUNITY SCHOOLS","982"
"4388","190391","NE","Weeping Water Public Schools District No. 22","3178540","WEEPING WATER PUBLIC SCHOOLS","306"
"4389","1238880","NE","West Holt Public Schools District No. 239","3100172","WEST HOLT PUBLIC SCHOOLS","447"
"4390","225008","NE","West Point Public School District No.1","3100006","WEST POINT PUBLIC SCHOOLS","728"
"4391","109731","NE","Westside Community School District No. 66","3178660","WESTSIDE COMMUNITY SCHOOLS","6094"
"4392","197016","NE","Wheeler Central School District No. 45","3178670","WHEELER CENTRAL SCHOOLS","105"
"4393","190395","NE","Wilber-Clatonia Public Schools District No. 82","3178720","WILBER-CLATONIA PUBLIC SCHOOLS","628"
"4394","109738","NE","Wilcox-Hildreth Public Schools","3100134","WILCOX-HILDRETH PUBLIC SCHOOLS","213"
"4395","109740","NE","winnebago public schools district 17","3178810","WINNEBAGO PUBLIC SCHOOLS DISTRICT 17","602"
"4396","108830","NE","Wisner Pilger Public Schools","3100008","WISNER-PILGER PUBLIC SCHOOLS","440"
"4397","190399","NE","Wynot Public Schools District No. 101","3178990","WYNOT PUBLIC SCHOOLS","187"
"4398","109751","NE","York School District No. 12","3179050","YORK PUBLIC SCHOOLS","1484"
"4399","109753","NE","Yutan Public School District No. 9","3179080","YUTAN PUBLIC SCHOOLS","480"
"4400","42547","NH","Bedford New Hampshire School District","3301740","Bedford School District","4437"
"4401","35587","NH","Concord School District","3302460","Concord School District","4327"
"4402","41688","NH","Contoocook Valley Regional School District","3302480","Contoocook Valley School District","2150"
"4403","35573","NH","Conway School District","3302490","Conway School District","1663"
"4404","35589","NH","Derry Cooperative School District","3302610","Derry School District","3304"
"4405","225026","NH","Epping School District","3302880","Epping School District","927"
"4406","35578","NH","Fall Mountain Regional School District","3302990","Fall Mountain Regional School District","1520"
"4407","35596","NH","Farmington School District","3303000","Farmington School District","816"
"4408","56958","NH","Franklin School District","3303090","Franklin School District","947"
"4409","49877","NH","Goffstown School District","3303240","Goffstown School District","2864"
"4410","168005","NH","Governor Wentworh Regional School District","3303330","Governor Wentworth Reg School District","2306"
"4411","52187","NH","Hillsboro-Deering Cooperative School District","3303750","Hillsboro Deering Coop School District","1126"
"4412","81897","NH","Hinsdale, New Hampshire School District","3303780","Hinsdale School District","533"
"4413","35585","NH","Hudson School District","3303930","Hudson School District","3197"
