"","state","acfrs_original_name","id"
"2246","NJ","Cape May City School District","35769"
"2247","NJ","Borough of Roselle School District","35882"
"2248","NJ","Flemington-Raritan Regional School District","35804"
"2249","NJ","Bridgewater-Raritan Regional School District","35872"
"2250","NJ","New Brunswick Board of Education","35667"
"2251","NJ","Manalapan-Englishtown Regional School District","35831"
"2252","NJ","Middlesex County Vocational and Technical High Schools","35626"
"2253","NJ","Morris School District","35843"
"2254","NJ","Monmouth County Vocational School District","40214"
"2255","NJ","East Windsor Regional School District","35805"
"2256","NJ","Kearny Board of Education","35803"
"2257","NJ","Highland Park Borough Public School District","35812"
"2258","NH","Seabrook School District","52906"
"2259","NJ","Essex County Vocational Schools","40213"
"2260","NJ","Fairview Board of Education","35713"
"2261","NJ","Metuchen Board of Education","35814"
"2262","NJ","North Bergen Board of Education","35801"
"2263","NJ","Ocean County Vocational Technical School District","40245"
"2264","NJ","School District of the City of Hackensack","35729"
"2265","NJ","Egg Harbor City School District","40794"
"2266","NJ","East Orange Board of Education","35651"
"2267","NJ","Hoboken Public Schools","35800"
"2268","NJ","Ocean City Board of Education","81960"
"2269","NJ","Nutley Board of Education","35782"
"2270","NJ","Northern Burlington County Regional School District","35748"
"2271","NJ","Burlington City School District","35746"
"2272","NJ","School District of the Borough of Haledon","46272"
"2273","NJ","Newark Board of Education","40456"
"2274","NJ","Gloucester County Vocational Technical School District","41175"
"2275","NH","Merrimack School District","35584"
"2276","NJ","Englewood Board of Education","41825"
"2277","NJ","Hunterdon Central Regional High School District","46337"
"2278","NJ","North Hanover Board of Education","35740"
"2279","NJ","Parsippany-Troy Hills School District","35845"
"2280","NJ","Penns Grove Carneys Point Regional School District","35868"
"2281","NJ","Garfield Board of Education","42479"
"2282","NJ","City of Long Branch School District","82039"
"2283","NJ","Old Bridge Township Board of Education","35813"
"2284","NJ","School District of the Borough of Cliffside Park","93987"
"2285","NJ","Lenape Regional High School District","35747"
"2286","NH","Kearsarge Regional School District","46035"
"2287","NJ","Gloucester County Special Services School District","42049"
"2288","NJ","Phillipsburg School District","35891"
"2289","NJ","Borough of Bound Brook School District","35871"
"2290","NJ","Manchester Regional High School Board of Education","49358"
"2291","NE","Umonhon Nation Public Schools District 16","109684"
"2292","NJ","Paramus Board of Education","35721"
"2293","NJ","Bordentown Regional School District","35749"
"2294","NJ","City of Atlantic City Board of Education","81924"
"2295","NJ","City of Vineland Board of Education","91452"
"2296","NJ","Plainfield Board of Education","35887"
"2297","NJ","Educational Services Commission of New Jersey","35821"
"2298","NJ","Town of Newton School District","82064"
"2299","NJ","Borough of Clayton School District","35787"
"2300","NJ","Ridgefield Park Board of Education","35723"
"2301","NJ","Riverside Township Public School District","35744"
"2302","NJ","Borough of Lindenwold School District","35758"
"2303","NJ","Point Pleasant Borough School District","35858"
"2304","NM","Artesia Public Schools","45329"
"2305","NJ","Hopatcong Borough School District","35879"
"2306","NJ","Borough of Pitman School District","35794"
"2307","NJ","Hopewell Valley Regional School District","35808"
"2308","NJ","Rancocas Valley Regional High School District","35743"
"2309","NJ","Clifton Board of Education","35866"
"2310","NH","Winnisquam Regional School District","35572"
"2311","NJ","Holmdel School District","48400"
"2312","NJ","Gloucester City School District","40793"
"2313","NJ","Toms River Regional School District","35860"
"2314","NJ","Teaneck Board of Education","35726"
"2315","NJ","Ridgewood Board of Education","35724"
"2316","NJ","Rutherford School District","65350"
"2317","NJ","Hasbrouck Heights Board of Education","35715"
"2318","NM","Albuquerque Municipal School District No. 12","35931"
"2319","NJ","Buena Regional School District","35703"
"2320","NJ","South Orange and Maplewood School District Board of Education","35783"
"2321","NJ","Somerville Borough School District","35876"
"2322","NJ","Tenafly Board of Education","47440"
"2323","NJ","Warren Hills Regional School District","35892"
"2324","NJ","Southern Regional School District","35862"
"2325","NJ","Black Horse Pike Regional School District","35753"
"2326","NJ","West Windsor-Plainsboro Regional School District","35810"
"2327","NJ","Sayreville Board of Education","82096"
"2328","NM","Moriarty-Edgewood School District No.8","43886"
"2329","NJ","City of Wildwood Board of Education","91453"
"2330","NJ","Borough of Hawthorne School District","42512"
"2331","NJ","Secaucus Board of Education","42510"
"2332","NJ","Princeton Public Schools","121630"
"2333","NJ","Salem County Vocational Technical School District","35634"
"2334","NJ","School District of Town of Westfield","82103"
"2335","NJ","Weehawken Board of Education","35802"
"2336","NM","Farmington Municipal School District No.5","35951"
"2337","NJ","Absecon Board of Education","47243"
"2338","NM","Bernalillo Public School District","35948"
"2339","NJ","School District of the Chathams","35849"
"2340","NM","Gallup-Mckinley County Schools","47621"
"2341","NJ","Red Bank Borough School District","35836"
"2342","NH","Goffstown School District","49877"
"2343","NJ","Town of Hammonton School District","81984"
"2344","NJ","Westwood Regional School District","35728"
"2345","NM","Bloomfield Municipal School District No.6","46641"
"2346","NM","Santa Fe Public Schools","35953"
"2347","NM","Truth or Consequences Municipal Schools","35955"
"2348","NM","Gadsden Independent School District No. 16","35934"
"2349","NJ","Town of Boonton School District","81938"
"2350","NJ","School District of the Borough of Tinton Falls","35837"
"2351","NM","Belen Consolidated School District No.2","35959"
"2352","NH","Lebanon School District","35580"
"2353","NJ","West Orange Board of Education","35784"
"2354","NJ","Woodstown-Pilesgrove Regional School District","46241"
"2355","NM","Kha'p'o Community School","58489"
"2356","NJ","Union County Vocational-Technical Schools","40616"
"2357","NJ","Woodland Park School District","1035890"
"2358","NJ","Scotch Plains-Fanwood Regional School District","43466"
"2359","NJ","Borough of Pine Hill School District","93992"
"2360","NJ","School District of the Township of West Milford","93994"
"2361","NJ","Rahway School District","35888"
"2362","NM","Los Alamos Public Schools","35941"
"2363","NM","Dulce Independent Schools","35947"
"2364","NH","Pelham School District","41543"
"2365","NM","Mora Independent School District No. 44","35943"
"2366","NM","Hatch Valley Public Schools","35935"
"2367","NJ","South River Borough Board of Education","35819"
"2368","NJ","City of Somers Point Board of Education","82106"
"2369","NM","Raton Public School District No. 11","46975"
"2370","NE","South Sioux City Community Schools District No. 11","108824"
"2371","NM","Pecos Independent School District","35952"
"2372","NE","Winnebago Public Schools District 17","109740"
"2373","NM","Region IX Education Cooperative","46777"
"2374","NM","Deming Public Schools","35942"
"2375","NJ","Borough of Keyport School District","35830"
"2376","NV","Lander County School District","64961"
"2377","NM","Dexter Consolidated Schools","46670"
"2378","NM","Ruidoso Municipal Schools","35940"
"2379","NV","Humboldt County School District","35530"
"2380","NV","Clark County School District","35528"
"2381","NJ","Audubon School District","35751"
"2382","NV","Churchill County School District","35527"
"2383","NY","Baldwinsville Central School District","36307"
"2384","NM","Regional Education Cooperative VII","40493"
"2385","NJ","Bogota Board of Education","35708"
"2386","NV","Elko County School District","45221"
"2387","NM","Estancia Municipal Schools","46953"
"2388","NY","Averill Park Central School District","36357"
"2389","NY","Bath Central School District","36389"
"2390","NM","Las Cruces Public School District No.2","35936"
"2391","NV","Carson City School District","35534"
"2392","NJ","Bergen County Special Services School District","42509"
"2393","NM","West Las Vegas Schools","46788"
"2394","NY","Altmar-Parish-Williamstown Central School District","36337"
"2395","NM","Tularosa Municipal School District No.4","93996"
"2396","NY","Ausable Valley Central School District","57044"
"2397","NM","Tucumcari Public Schools","35945"
"2398","NJ","Bergenfield Board of Education","43070"
"2399","NV","Mineral County School District","42619"
"2400","NJ","Bergen County Technical and Vocational High School District","42533"
"2401","NY","Board of Education City of Buffalo","82195"
"2402","NJ","Borough of Dumont School District","81939"
"2403","NY","Board of Cooperative Educational Services First Supervisory District of Erie County","40354"
"2404","NH","Franklin School District","56958"
"2405","NY","Alden Central School District","36169"
"2406","NY","Addison Central School District","36388"
"2407","NY","Broadalbin-Perth Central School District","36195"
"2408","NY","Canisteo-Greenwood Central School District","36391"
"2409","NH","Londonderry, New Hampshire School District","81900"
"2410","NV","Douglas County School District","35529"
"2411","NY","Carthage Central School District","36213"
"2412","NY","Canton Central School District","47603"
"2413","NY","Bethlehem Central School District","36096"
"2414","NE","South Central Nebraska Unified School District No.5","93982"
"2415","NY","Brockport Central School District","36238"
"2416","NY","Burnt Hills-Ballston Lake Central School District","36371"
"2417","NY","Ballston Spa Central School District","36372"
"2418","NY","Arlington Central School District","36162"
"2419","NY","Boces Genesee Livingston Steuben and Wyoming Counties","36222"
"2420","NY","Byron-Bergen Central School District","36201"
"2421","NY","Canastota Central School District","36223"
"2422","NM","Zuni Public Schools","47980"
"2423","NY","Allegany-Limestone Central School District","36121"
"2424","NH","Pittsfield School District","99106"
"2425","NY","Bedford Central School District","36465"
"2426","NY","Brighton Central School District","48507"
"2427","NY","Auburn Enlarged City School District","36131"
"2428","NY","Amherst Central School District","36190"
"2429","NY","Brewster Central School District","82202"
"2430","NH","Contoocook Valley Regional School District","41688"
"2431","NY","Board of Cooperative Educational Services of Nassau County","45052"
"2432","NY","Broome-Tioga Boces","36120"
"2433","NY","Albion Central School District","36334"
"2434","NY","Bayport-Blue Point Union Free School District","36416"
"2435","NY","Cheektowaga Central School District","36172"
"2436","NV","Washoe County School District","35535"
"2437","NY","Brookhaven-Comsewogue Union Free School District","36405"
"2438","NJ","Borough of Bellmawr School District","35752"
"2439","NY","Chappaqua Central School District","36470"
"2440","NV","Pershing County School District","44987"
"2441","NY","Bainbridge-Guilford Central School District","64980"
"2442","NY","Akron Central School District","36186"
"2443","NY","Brocton Central School District","64979"
"2444","NY","Adirondack Central School District","36292"
"2445","NV","White Pine County School District","35536"
"2446","NY","Campbell-Savona Central School District","36390"
"2447","NY","Brunswick Central School District","36352"
"2448","NH","Windham School District","35593"
"2449","NY","Cattaraugus-Little Valley Central School District","36123"
"2450","NY","Beaver River Central School District","36218"
"2451","NY","Binghamton City School District","36110"
"2452","NY","Beacon City School District","36163"
"2453","NY","Ellenville Central School District","36452"
"2454","NY","City School District of Syracuse","40233"
"2455","NY","City School District of Mount Vernon","36469"
"2456","NY","Cairo-Durham Central School District","36204"
"2457","NY","Canandaigua City School District","36314"
"2458","NY","Cassadaga Valley Central School District","36134"
"2459","NY","Hilton Central School District","36233"
"2460","NY","Brushton-Moira Central School District","36193"
"2461","NY","Brasher Falls Central School District","36366"
"2462","NY","Camden Central School District","36293"
"2463","NY","Central Islip Union Free School District","36420"
"2464","NY","Cornwall Central School District","36321"
"2465","NY","Cuba-Rushford Central School District","36106"
"2466","NY","Clarence Central School District","36175"
"2467","NY","East Aurora Union Free School District","36178"
"2468","NY","City School District of New Rochelle","36471"
"2469","NY","Candor Central School District","36434"
"2470","NY","Central Valley Central School District","56499"
"2471","NY","Beekmantown Central School District","36148"
"2472","NY","Dolgeville Central School District","36208"
"2473","NY","Clarkstown Central School District","45072"
"2474","NY","Cheektowaga-Maryvale Union Free School District","36173"
"2475","NY","Chenango Valley Central School District","36113"
"2476","NY","Chatham Central School District","64981"
"2477","NY","Brentwood Union Free School District","36413"
"2478","NY","Chautauqua Lake Central School District","36135"
"2479","NY","Chittenango Central School District","36225"
"2480","NY","Churchville-Chili Central School District","36236"
"2481","NY","Central Square Central School District","36340"
"2482","NY","Cheektowaga-Sloan Union Free School District","44968"
"2483","NY","East Syracuse Minoa Central School District","36304"
"2484","NY","Depew Union Free School District","36177"
"2485","NY","Corinth Central School District","36374"
"2486","NY","City School District of the City of Lockport","82226"
"2487","NY","Enlarged City School District of Middletown","36325"
"2488","NY","Corning City School District","36392"
"2489","NY","Cohoes City School District","36098"
"2490","NY","Commack Union Free School District","41745"
"2491","NY","Bolivar-Richburg Central School District","36105"
"2492","NY","Highland Central School District","36445"
"2493","NY","Dryden Central School District","36440"
"2494","NY","Cobleskill-Richmondville Central School District","41640"
"2495","NY","Deer Park Union Free School District","36400"
"2496","NY","City School District of the City of Albany","82225"
"2497","NY","Elmira City School District","36141"
"2498","NY","Maine-Endwell Central School District","36116"
"2499","NY","Hornell City School District","36393"
"2500","NY","Hewlett-Woodmere Union Free School District","36093"
"2501","NY","Dundee Central School District","36483"
"2502","NY","Clinton-Essex-Warren-Washington Counties Boces","36154"
"2503","NY","East Rochester Union Free School District","36226"
"2504","NY","Dover Union Free School District","36164"
"2505","NY","Jasper-Troupsburg Central School District","64986"
"2506","NY","East Islip Union Free School District","36415"
"2507","NY","Mahopac Central School District","36349"
"2508","NY","Cleveland Hill Union Free School District","36174"
"2509","NY","Greenburgh Central School District","36467"
"2510","NY","Dunkirk City School District","36137"
"2511","NY","East Irondequoit Central School District","36230"
"2512","NY","Mechanicville City School District","46224"
"2513","NY","Middle Country Central School District","36407"
"2514","NY","Livonia Central School District","36221"
"2515","NY","Elwood Union Free School District","46137"
"2516","NY","East Hampton Union Free School District","46230"
"2517","NY","Lynbrook Union Free School District","36264"
"2518","NY","Horseheads Central School District","36143"
"2519","NY","Harrison Central School District","47811"
"2520","NY","Locust Valley Central School District","36281"
"2521","NY","East Ramapo Central School District","36364"
"2522","NY","East Rockaway Union Free School District","46079"
"2523","NY","Elmira Heights Central School District","36142"
"2524","NY","Elmont Union Free School District","36257"
"2525","NY","Johnson City Central School District","36115"
"2526","NY","Katonah-Lewisboro Union Free School District","43481"
"2527","NY","Eastern Suffolk Boces","41001"
"2528","NY","Jamesville-Dewitt Central School District","36303"
"2529","NY","Elmsford Union Free School District","93997"
"2530","NY","Hyde Park Central School District","36165"
"2531","NY","East Greenbush Central School District","36353"
"2532","NY","Jamestown City School District","36140"
"2533","NY","Gorham-Middlesex Central School District","36317"
"2534","NY","Leroy Central School District","36202"
"2535","NY","Lewiston-Porter Central School District","36283"
"2536","NY","Dansville Central School District","36220"
"2537","NY","Clyde-Savannah Central School District","36458"
"2538","NY","City School District of White Plains","36476"
"2539","NY","Coxsackie-Athens Central School District","45218"
"2540","NY","Lyons Central School District","36459"
"2541","NY","Mexico Academy and Central School District","36341"
"2542","NY","Malverne Union Free School District","36265"
"2543","NY","Goshen Central School District","36323"
"2544","NY","Kenmore-Town of Tonawanda Union Free School District","82285"
"2545","NY","Nyack Union Free School District","36361"
"2546","NY","Mount Pleasant Central School District","65434"
"2547","NY","Madison Oneida Boces","82297"
"2548","NY","Hauppauge Union Free School District","36417"
"2549","NY","New Paltz Central School District","36448"
"2550","NY","Moriah Central School District","64984"
"2551","NY","Groton Central School District","36441"
"2552","NY","Greater Johnstown School District","36197"
"2553","NY","Onondaga Cortland Madison Boces","36313"
"2554","NY","Penn Yan Central School District","36482"
"2555","NY","Oceanside Union Free School District","36270"
"2556","NY","Guilderland Central School District","36101"
"2557","NY","Mount Morris Central School District","43250"
"2558","NY","Nanuet Union Free School District","36359"
"2559","NY","Norwood-Norfolk Central School District","36369"
"2560","NY","Enlarged City School District of the City of Amsterdam","82245"
"2561","NY","Newburgh Enlarged City School District","36329"
"2562","NY","Northport-East Northport Union Free School District","36422"
"2563","NY","Hamburg Central School District","36182"
"2564","NY","Newark Valley Central School District","36435"
"2565","NY","Moravia Central School District","36133"
"2566","NY","Hamilton, Fulton and Montgomery Counties  BOCES","36199"
"2567","NY","Newfane Central School District","36285"
"2568","NY","Haverstraw-Stony Point Central School District","36360"
"2569","NY","Odessa-Montour Central School District","36384"
"2570","NY","Niagara Falls City School District","36287"
"2571","NY","Enlarged City School District of Troy","40231"
"2572","NY","North Tonawanda City School District","36288"
"2573","NY","Highland Falls-Fort Montgomery Central School District","36324"
"2574","NY","Patchogue-Medford Union Free School District","36423"
"2575","NY","Northeastern Clinton Central School District","36149"
"2576","NY","Geneva City School District","36315"
"2577","NY","North Syracuse Central School District","36312"
"2578","NY","North Bellmore Union Free School District","36255"
"2579","NY","North Rose-Wolcott Central School District","36462"
"2580","NY","Gouverneur Central School District","36367"
"2581","NY","Pearl River Union Free School District","36363"
"2582","NY","Niagara Wheatfield Central School District","36286"
"2583","NY","Fillmore Central School District","36107"
"2584","NY","City School District of the City of Oneida","190610"
"2585","NY","Penfield Central School District","36234"
"2586","NY","Oneonta City School District","36347"
"2587","NY","Little Falls City School District","36207"
"2588","NY","Enlarged Ogdensburg City School District","36370"
"2589","NY","Mineola Union Free School District","36267"
"2590","NY","Mamaroneck Union Free School District","36468"
"2591","NY","Liberty Central School District","36432"
"2592","NY","Indian River Central School District","36211"
"2593","NY","North Colonie Central School District","36100"
"2594","NY","Orange Ulster Boces","36333"
"2595","NY","Kinderhook Central School District","36157"
"2596","NY","Lansingburgh Central School District","36355"
"2597","NY","Farmingdale Union Free School District","36247"
"2598","NY","Kingston City School District","36444"
"2599","NY","Miller Place Union Free School District","45020"
"2600","NY","Liverpool Central School District","36310"
"2601","NY","Orchard Park Central School District","36187"
"2602","NY","Minisink Valley Central School District","36326"
"2603","NY","Oneida Herkimer and Madison Counties Boces","36301"
"2604","NY","Niskayuna Central School District","45051"
"2605","NY","Owego-Apalachin Central School District","36436"
"2606","NY","Jordan-Elbridge Central School District","36305"
"2607","NY","Malone Central School District","36192"
"2608","NY","Massena Central School District","36368"
"2609","NY","Onteora Central School District","36449"
"2610","NY","Oswego City School District","36342"
"2611","NY","Lakeland Central School District","36477"
"2612","NY","Newark Central School District","36457"
"2613","NY","Island Trees Union Free School District","46096"
"2614","NY","Pembroke Central School District","36203"
"2615","NY","Marlboro Central School District","36447"
"2616","NY","General Brown Central School District","36212"
"2617","NY","Medina Central School District","43654"
"2618","NY","Pelham Union Free School District","46414"
"2619","NY","Palmyra-Macedon Central School District","36461"
"2620","NY","Perry Central School District","36481"
"2621","NY","LaFayette Central School District","99122"
"2622","NY","Levittown Union Free School District","36262"
"2623","NY","Ossining Union Free School District","36472"
"2624","NY","Ithaca City School District","36442"
"2625","NY","Peekskill City School District","36473"
"2626","NY","Lackawanna City School District","36184"
"2627","NY","Monroe-Woodbury Central School District","36327"
"2628","NY","Marathon Central School District","64982"
"2629","NY","Greene Central School District","36144"
"2630","NY","Lowville Academy and Central School District","36217"
"2631","NY","Honeoye Falls-Lima Central School District","46588"
"2632","NY","Olean City School District","36124"
"2633","NY","Norwich City School District","36146"
"2634","NY","Northern Adirondack Central School District","36150"
"2635","NY","Mayfield Central School District","36198"
"2636","NY","Jefferson-Lewis-Hamilton-Herkimer-Oneida Boces","36216"
"2637","NY","Oppenheim-Ephratah-St. Johnsville Central School District","48215"
"2638","NY","Grand Island Central School District","36181"
"2639","NY","Iroquois Central School District","36179"
"2640","NY","Hempstead Union Free School District","36254"
"2641","NY","Hoosick Falls Central School District","36354"
"2642","NY","Lancaster Central School District","36185"
"2643","NY","Gowanda Central School District","36125"
"2644","NY","Rye City School District","47517"
"2645","NY","Fonda-Fultonville Central School District","36244"
"2646","NY","Phoenix Central School District","36345"
"2647","NY","Rotterdam-Mohonasen Central School District","36378"
"2648","NY","Phelps-Clifton Springs Central School District","36316"
"2649","NY","South Seneca Central School District","36386"
"2650","NY","Franklin Square Union Free School District","36258"
"2651","NY","Shenendehowa Central School District","36373"
"2652","NY","Spencerport Central School District","36232"
"2653","NY","Unatego Central School District","36348"
"2654","NY","South Orangetown Central School District","36362"
"2655","NY","Plainview-Old Bethpage Central School District","36274"
"2656","NY","Randolph Central School District","36127"
"2657","NY","Spencer Van Etten Central School District","36437"
"2658","NY","Evans-Brant Central School District","36180"
"2659","NY","Port Jervis City School District","36330"
"2660","NY","Pine Valley Central School District","36136"
"2661","NY","Trumansburg Central School District","45313"
"2662","NY","Susquehanna Valley Central School District","36112"
"2663","NY","Red Creek Central School District","36464"
"2664","NY","Pittsford Central School District","36235"
"2665","NY","Tonawanda City School District","36188"
"2666","NY","Silver Creek Central School District","36139"
"2667","NY","Fayetteville-Manlius Central School District","36308"
"2668","NY","Saranac Central School District","36153"
"2669","NY","Port Chester-Rye Union Free School District","40664"
"2670","NY","Sullivan West Central School District","46226"
"2671","NY","Valley Stream Central High School Dictrict","36251"
"2672","NY","Sandy Creek Central School District","36344"
"2673","NY","Fairport Central School District","36227"
"2674","NY","Roosevelt Union Free School District","36256"
"2675","NY","Rondout Valley Central School District","36446"
"2676","NY","Rome City School District","36295"
"2677","NY","Vernon Verona Sherrill Central School District","36296"
"2678","NY","Ulster County Board of Cooperative Educational Services","43817"
"2679","NY","Starpoint Central School District","36289"
"2680","NY","Saratoga Springs City School District","36377"
"2681","NY","Sidney Central School District","36160"
"2682","NY","Tri-Valley Central School District","45028"
"2683","NY","Rockville Centre Union Free School District","36277"
"2684","NY","Gates Chili Central School District","36228"
"2685","NY","Peru Central School District","36151"
"2686","NY","Queensbury Union Free School District","36453"
"2687","NY","South Huntington Union Free School District","197111"
"2688","NY","Rensselaer City School District","36356"
"2689","NY","Smithtown Central School District","36427"
"2690","NY","Three Village Central School District","36404"
"2691","NY","Wantagh Union Free School District","36259"
"2692","NY","Roxbury Central School District","53828"
"2693","NY","Seneca Falls Central School District","47485"
"2694","NY","Saranac Lake Central School District","36194"
"2695","NY","Gloversville Enlarged School District","36196"
"2696","NY","Tioga Central School District","36438"
"2697","NY","Valley Central School District","36328"
"2698","NY","South Colonie Central School District","36099"
"2699","NY","Potsdam Central School District","42518"
"2700","NY","Scotia-Glenville Central School District","36380"
"2701","NY","Vestal Central School District","36118"
"2702","NY","Scarsdale Union Free School District","36474"
"2703","NY","Schoharie Central School District","36383"
"2704","NY","Hendrick Hudson Central School District","36466"
"2705","NY","Plattsburgh City School District","36152"
"2706","NY","Red Hook Central School District","45223"
"2707","NY","Sherburne-Earlville Central School District","36147"
"2708","NY","Union Free School District of the Tarrytowns","36475"
"2709","NY","Schalmont Central School District at Rottderdam","36381"
"2710","NY","Victor Central School District","36318"
"2711","NY","Thousand Islands Central School District","36214"
"2712","NY","Sayville Union Free School District","36425"
"2713","NY","South Jefferson Central School District","36210"
"2714","NY","South Lewis Central School District","36219"
"2715","NY","Rush-Henrietta Central School District","36237"
"2716","NY","Wallkill Central School District","36451"
"2717","NY","Uniondale Union Free School District","36278"
"2718","NY","Somers Central School District","82369"
"2719","NY","Sodus Central School District","36463"
"2720","NY","Walton Central School District","36161"
"2721","NY","Solvay Union Free School District","36311"
"2722","NY","Holland Patent Central School District","36297"
"2723","NY","Sweet Home Central School District","36171"
"2724","NY","Utica City School District","36298"
"2725","NY","Sachem Central School District","36406"
"2726","NY","Rocky Point Union Free School District","36403"
"2727","NY","Pine Bush Central School District","36322"
"2728","NY","Port Washington Union Free School District","36276"
"2729","NY","Southwestern Central School District","44314"
"2730","NY","Ticonderoga Central School District","56392"
"2731","NY","Portville Central School District","36126"
"2732","NY","Southern Westchester Boces","36479"
"2733","NY","Royalton-Hartland Central School District","36290"
"2734","NY","Greater Southern Tier Boces","36395"
"2735","NY","Springville-Griffith Institute Central School District","36176"
"2736","NY","Salamanca City Central School District","36128"
"2737","NY","Fallsburg Central School District","36431"
"2738","NY","Yonkers City School District","90202"
"2739","NY","Williamson Central School District","43021"
"2740","NY","Waverly Central School District","36439"
"2741","OH","Big Walnut Local School District","37073"
"2742","NY","Union-Endicott Central School District","36114"
"2743","NY","Fulton City School District","36338"
"2744","OH","Alexander Local School District","37000"
"2745","NY","Whitesboro Central School District","36299"
"2746","NY","Suffern Central School District","59199"
"2747","OH","Buckeye Local School District","37130"
"2748","NY","Franklinville Central School District","36122"
"2749","OH","Brookfield Local School District","37273"
"2750","OH","Dawson-Bryant Local School District","47538"
"2751","NY","Wayland-Cohocton Central School District","36394"
"2752","OH","Campbell City School District","37171"
"2753","OH","Deer Park Community City School District","47540"
"2754","NY","Williamsville Central School District","36170"
"2755","OH","Bucyrus City School District","37046"
"2756","OH","Austintown Local School District","37170"
"2757","NY","Greenville Central School District","36206"
"2758","OH","Beavercreek City School District","37098"
"2759","OH","Brecksville-Broadview Heights City School District","37051"
"2760","OH","Fairborn City School District","37099"
"2761","OH","Educational Service Center of Lake Erie West","43936"
"2762","NY","Watervliet City School District","36102"
"2763","NY","Whitney Point Central School District","36117"
"2764","OH","Butler Technology and Career Development Schools","46507"
"2765","NY","Holley Central School District","36335"
"2766","OH","Career and Technology Education Centers of Licking County","37146"
"2767","OH","East Holmes Local School District","37122"
"2768","NY","William Floyd Union Free School District","47643"
"2769","OH","Bridgeport Exempted Village School District","37008"
"2770","NY","Wayne Central School District","36460"
"2771","OH","Carrollton Exempted Village School District","43210"
"2772","OH","Beaver Local School District","37036"
"2773","OH","Buckeye Joint Vocational School District","37290"
"2774","OH","Ashtabula County Educational Service Center","91093"
"2775","NY","Harpursville Central School District","36111"
"2776","OH","Beachwood City School District","82545"
"2777","OH","Chardon Local School District","45444"
"2778","OH","Celina City School District","37184"
"2779","OH","Ehove Career Center","46503"
"2780","OH","Canton City School District","44285"
"2781","OH","Alliance City School District","37252"
"2782","OH","Clear Fork Valley Local School District","37231"
"2783","NY","Washingtonville Central School District","36320"
"2784","NY","Greece Central School District","36229"
"2785","OH","Coshocton City School District","37043"
"2786","NY","Fredonia Central School District","45027"
"2787","NY","Yorktown Central School District","36478"
"2788","OH","Barnesville Exempted Village School District","37006"
"2789","OH","Champion Local School District","49857"
"2790","OH","Coventry Local School District","37266"
"2791","NY","Webster Central School District","36239"
"2792","NY","Wilson Central School District","36291"
"2793","OH","Berea City School District","37050"
"2794","NY","Hannibal Central School District","36339"
"2795","NY","Wappingers Central School District","36167"
"2796","OH","Benton-Carroll-Salem Local School District","37209"
"2797","NY","Glen Cove City School District","36249"
"2798","NY","Windsor Central School District","82400"
"2799","NY","Western Suffolk Boces","36430"
"2800","NY","West Genesee Central School District","36302"
"2801","OH","Cuyahoga Falls City School District","37267"
"2802","OH","East Central Ohio Educational Service Center","41760"
"2803","OH","Eaton Community School District","197129"
"2804","OH","Canton Local School District","37253"
"2805","OH","Apollo Career Center","42336"
"2806","NY","West Islip Union Free School District","36419"
"2807","OH","Defiance City School District","37072"
"2808","OH","Fairfield City School District","37014"
"2809","OH","East Knox Local School District","49493"
"2810","NY","Heuvelton Central School District","43949"
"2811","OH","Euclid City School District","37055"
"2812","OH","Berkshire Local School District","49454"
"2813","NY","Herricks Union Free School District","36269"
"2814","NY","West Seneca Central School District","36189"
"2815","OH","Cardinal Local School District","37097"
"2816","OH","Canal Winchester Local School District","47570"
"2817","OH","Brooklyn City School District","37052"
"2818","OH","Elgin Local School District","43916"
"2819","OH","Delaware Area Career Center","65590"
"2820","OH","Butler County Educational Service Center","42985"
"2821","OH","Dublin City School District","37088"
"2822","NY","Yorkshire-Pioneer Central School District","36129"
"2823","NY","Watertown City School District","36215"
"2824","NY","Washington Saratoga Warren Hamilton Essex Counties Boces","40423"
"2825","NY","Watkins Glen Central School District","36385"
"2826","NY","Wellsville Central School District","36108"
"2827","OH","Auburn Vocational School District","41866"
"2828","OH","Ashtabula County Technical and Career Center","36999"
"2829","NY","Warwick Valley Central School District","36331"
"2830","OH","Eastwood Local School District","83035"
"2831","OH","Federal Hocking Local School District","37001"
"2832","OH","Centerville City School District","44002"
"2833","OH","Cincinnati City School District","44348"
"2834","OH","Indian Creek Local School District","37131"
"2835","OH","Eastern Local School District","37013"
"2836","OH","Cuyahoga Valley Career Center","44110"
"2837","OH","Elida Local School District","43426"
"2838","OH","New Albany Plain Local School District","51585"
"2839","OH","Mentor Exempted Village School District","37135"
"2840","OH","Galion City School District","48704"
"2841","OH","North Olmsted City School District","37059"
"2842","OH","Mansfield City School District","37230"
"2843","OH","Indian Lake Local School District","44335"
"2844","OH","Napoleon Area City School District","44000"
"2845","OH","Madison Local School District","37134"
"2846","OH","National Trail Local School District","45876"
"2847","OH","Hudson City School District","37268"
"2848","OH","Pickerington Local School District","37080"
"2849","OH","Orange City School District","37061"
"2850","OH","Louisville City School District","37256"
"2851","OH","Northwest Local School District","37104"
"2852","OH","Grand Valley Local School District","36996"
"2853","OH","Osnaburg Local School District","84036"
"2854","OH","Southeast Local School District","37307"
"2855","OH","Preble Shawnee Local School District","37226"
"2856","OH","Miami Valley Career Technology Center","41691"
"2857","OH","Penta Career Center","37314"
"2858","OH","Gallipolis City School District","37094"
"2859","OH","Springboro Community City School District","48583"
