"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"114","KS","Unified School District No. 265 Sedgwick County Kansas Goddard",NA,224315,2021,"School District",0,121925000,0,123626940,0,0,48569952,0,0,0,0,0,0,0,92411876,-4242737,96654613,0,0,0,92411876,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","KS","Unified School District 247",NA,224308,2021,"School District",0,0,0,1080000,0,0,5742296,0,0,0,0,0,0,0,9828327,47286,9781041,0,0,0,9828327,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","KS","Unified School District No. 254",NA,224314,2021,"School District",0,0,0,1152104,0,0,4927964,0,0,0,0,0,0,0,9589192,-491999,10081191,0,0,0,9589192,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","KS","Central Plains Unified School District No. 112",NA,224278,2021,"School District",0,0,0,569714,0,0,5448832,0,0,0,0,0,0,0,12843326,-4960,12848286,0,0,0,12843326,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","KS","Unified School District No. 331",NA,224318,2021,"School District",0,0,0,1500000,0,0,8635835,0,0,0,0,0,0,0,17248666,230753,17017913,0,0,0,17248666,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","KS","Unified School District No. 337",NA,33512,2021,"School District",0,0,0,835000,0,0,8774290,0,0,0,0,0,0,0,15686343,138344,15547999,0,0,0,15686343,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","KS","Unified School District No. 352",NA,224319,2021,"School District",0,11475000,0,430719,0,0,9124425,0,0,0,0,0,0,0,17931043,-552959,18484002,0,0,0,17931043,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","KS","Unified School District No. 389",NA,224321,2021,"School District",0,4800000,0,0,0,0,6118478,0,0,0,0,0,0,0,14394335,650841,13743494,0,0,0,14394335,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","KS","Unified School District No. 492",NA,224322,2021,"School District",0,4205000,0,1612633,0,0,3111537,0,0,0,0,0,0,0,6667551,-1829745,8497296,0,0,0,6667551,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","KS","Hesston Unified School District No. 460",NA,224329,2021,"School District",0,2255000,0,0,0,0,6987826,0,0,0,0,0,0,0,15029588,505951,14523637,0,0,0,15029588,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
